# Отечка;;;;;;;;
;;;;;;;;
Weiss-Berg;;4,70%;-;12,00%;светлое нефильтрованное;Пшеничное/Бланш;СОСТАВ: вода, солод пив. пшен./яч., хмель, дрожжи;Weiss_Berg.jpg
;;;;;;;;
Крафтовое Белое;;4,50%;-;12,00%;светлое нефильтрованное;Лагер;СОСТАВ: вода, солод ячмен., крупа рисовая, сахар, хмель, дрожжи;Kraftovoe_Beloe.jpg
;;;;;;;;
Клостербрау;;4,00%;-;12,00%;светлое нефильтрованное;Пшеничное/бланш;СОСТАВ: вода, солод пив. яч., пшеничный, дрожжи;Klosterbrau.jpg
;;;;;;;;
;;;;;;;;
;;;;;;;;
# Импорт;;;;;;;;
;;;;;;;;
Schneider Weisse TAP 1 Hefeweissbier Naturtrub;;4,90%;13;11,30%;светлое нефильтрованное;Weissbier;СОСТАВ: вода, солод пивовар. яч.  пшен., хмель, дрожжи;Schneider_Weisse_TAP_1.jpg
;;;;;;;;
Kurpfalz Brau;;5,20%;16;12,50%;светлое фильтрованное;Лагер Хель;СОСТАВ: вода, солод пивовар. яч., хмель, дрожжи;Kurpfalz_Brau.jpg
;;;;;;;;
;;;;;;;;
;;;;;;;;
# Крафт;;;;;;;;
;;;;;;;;
Iron Woods Stout;;4,80%;35;11,00%;темное фильтрованное;Стаут;СОСТАВ: вода, солод пив. яч., хмель, дрожжи;Iron_Woods_Stout.jpg
;;;;;;;;
Milk of Amnesia;;5,50%;35;14,30%;светлое нефильтрованное;Милкшейк ИПА;СОСТАВ: вода, солод пив. яч., пшен., овсян., хмель, лактоза, конц.сок троп., дрожжи;Milk_of_Amnesia.jpg
;;;;;;;;
Ausweis;;5,20%;15;13,00%;светлое нефильтрованное;Пшеничный Эль;СОСТАВ: вода, солод пив. пшен., яч., ячм карам., хмель, дрожжи;Ausweis.jpg
;;;;;;;;
Pilsner;;4,50%;-;12,00%;светлое фильтрованное;Лагер/Пилс;СОСТАВ: вода, солод пив. яч., хмель, дрожжи;Samovar.jpg
;;;;;;;;
Premium Lager;;4,70%;-;12,00%;светлое фильтрованное;Лагер;СОСТАВ: вода, солод пив. яч., хмель, дрожжи;Samovar.jpg
;;;;;;;;
White Ale;;4,50%;-;13,00%;светлое нефильтрованное;Пшеничное;СОСТАВ: вода, солод пив. яч., пшенич., хмель, дрожжи;Samovar.jpg
;;;;;;;;
Heidegger Hell;;4,70%;-;12,00%;светлое фильтрованное;Лагер Хель;СОСТАВ: вода, солод пив. яч., хмель, дрожжи;Heidegger_Hell.jpg
;;;;;;;;
Blue Monkey;;5,40%;15;12,70%;светлое нефильтрованное;Витбир/Бланш;СОСТАВ: вода, солод пив. пшен., яч., овсян., ., хмель, цедра, кориандр, дрожжи;Blue_Monkey.jpg
;;;;;;;;
Kriek De Lutin;;4,00%;-;15,00%;темное нефильтрованное;Ламбик;СОСТАВ: вода, солод пив. яч., вишневый сок, хмель, дрожжи;Kriek_De_Lutin.jpg
;;;;;;;;
Карамбуляж;;8,60%;70;20,00%;светлое нефильтрованное;Дабл ИПА;СОСТАВ: вода, солод пив. яч., хмель, дрожжи;Karambulyazh.jpg
;;;;;;;;
Ruby Road;;7,00%;15;18,00%;темное фильтрованное;Фруктовый Эль;СОСТАВ: вода, солод пив. яч. яч. карам., пшен., вишн. конц. сок., хмель, дрожжи;Ruby_Road.jpg
;;;;;;;;
Nut Butter;;5,50%;10;14,00%;темное нефильтрованное;Браун Эль;СОСТАВ: вода, солод пив. яч. яч. карам., хмель, сироп лесной орех, дрожжи;Nut_Butter.jpg
;;;;;;;;
ТА’IPA;;6,50%;-;16,00%;светлое нефильтрованное;ИПА;СОСТАВ: вода, солод пив. яч., хмель, дрожжи;TA_IPA.jpg
;;;;;;;;
India Pale Ale;;6,00%;-;14,00%;светлое нефильтрованное;ИПА;СОСТАВ: вода, солод пив. яч., хмель, дрожжи;Samovar.jpg
;;;;;;;;
Kölsch Кёльш;;4,80%;-;12,00%;светлое фильтрованное;Кёльш;СОСТАВ: вода, солод пив. яч., хмель, дрожжи;Samovar.jpg
;;;;;;;;
Friday Avenue;;4,70%;24;11,70%;светлое фильтрованное;АПА;СОСТАВ: вода, солод пив. яч., хмель, дрожжи;Friday_Avenue.jpg
;;;;;;;;
;;;;;;;;
;;;;;;;;
# БА;;;;;;;;
;;;;;;;;
Дюшес;;-;-;-;-;Лимонад;СОСТАВ: вода, сок груши, сахар;Dyushes.jpg
;;;;;;;;
Лимонад;;-;-;-;-;Лимонад;СОСТАВ: вода, сок лимона, сахар;Limonad.jpg
;;;;;;;;
Квас Деревенский;;-;-;-;-;Квас Светлый;СОСТАВ: вода, сахар, концентрат квасного сусла, дрожжи;Kvas_Derevenskij.jpg
;;;;;;;;
Квас Домашний;;-;-;-;-;Квас Темный;СОСТАВ: вода, сахар, концентрат квасного сусла, дрожжи;Kvas_Domashnij.jpg
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
# Сидр/Медовуха;;;;;;;;
Сидр Вишня-Миндаль;;5,00%;-;-;-;Сидр;СОСТАВ: вода, яблочный сок, вишневый сок, миндаль;sidr_vishnya_mindal.jpg
;;;;;;;;
Сидр Груша;;5,00%;-;-;-;Сидр;СОСТАВ: вода, яблочный сок, грушевый сок;sidr_grusha.jpg
;;;;;;;;
Сидр Дыня-Маракуйя;;5,00%;-;-;-;Сидр;СОСТАВ: вода, яблочный сок, сок дыни, сок маракуйи;sidr_dynya_marakuya.jpg
;;;;;;;;
Сидр Малина;;5,00%;-;-;-;Сидр;СОСТАВ: вода, яблочный сок, сок малины;sidr_malina.jpg
;;;;;;;;
Сидр Смородина;;5,00%;-;-;-;Сидр;СОСТАВ: вода, яблочный сок, сок смородины;sidr_smorodina.jpg
;;;;;;;;
Сидр Яблоко;;5,00%;-;-;-;Сидр;СОСТАВ: вода, яблочный сок, дрожжи;sidr_yabloko.jpg
;;;;;;;;
Сидр Лесные Ягоды;;5,00%;-;-;-;Сидр;СОСТАВ: вода, яблочный сок, ежевичный сок;sidr_lesnye_yagody.jpg
;;;;;;;;
Поцелуй Фрейи;;4,70%;-;-;-;Медовуха;СОСТАВ: вода, цветочный мед, сахар, дрожжи;freya.jpg
;;;;;;;;
Кровь Валькирии;;4,70%;-;-;-;Медовуха;СОСТАВ: вода, цветочный мед, вишневый сок, дрожжи;krov_valkirii.jpg
;;;;;;;;
Плата Мимира;;4,70%;-;-;-;Медовуха;СОСТАВ: вода, цвет. мед, сок голубики, экст. ореха, дрожжи;plata_mimira.jpg
;;;;;;;;
# Глетчер;;;;;;;;
;;;;;;;;
Iron Woods Stout;;4,80%;35;11,00%;темное фильтрованное;Стаут;СОСТАВ: вода, солод пив. яч., хмель, дрожжи;Iron_Woods_Stout.jpg
;;;;;;;;
Milk of Amnesia;;5,50%;35;14,30%;светлое нефильтрованное;Милкшейк ИПА;СОСТАВ: вода, солод пив. яч., пшен., овсян., хмель, лактоза, конц.сок троп., дрожжи;Milk_of_Amnesia.jpg
;;;;;;;;
Ausweis;;5,20%;15;13,00%;светлое нефильтрованное;Пшеничный Эль;СОСТАВ: вода, солод пив. пшен., яч., ячм карам., хмель, дрожжи;Ausweis.jpg
;;;;;;;;
Heidegger Hell;;4,70%;-;12,00%;светлое фильтрованное;Лагер Хель;СОСТАВ: вода, солод пив. яч., хмель, дрожжи;Heidegger_Hell.jpg
;;;;;;;;
Blue Monkey;;5,40%;15;12,70%;светлое нефильтрованное;Витбир/Бланш;СОСТАВ: вода, солод пив. пшен., яч., овсян., ., хмель, цедра, кориандр, дрожжи;Blue_Monkey.jpg
;;;;;;;;
Ruby Road;;7,00%;15;18,00%;темное фильтрованное;Фруктовый Эль;СОСТАВ: вода, солод пив. яч. яч. карам., пшен., вишн. конц. сок., хмель, дрожжи;Ruby_Road.jpg
;;;;;;;;
Nut Butter;;5,50%;10;14,00%;темное нефильтрованное;Браун Эль;СОСТАВ: вода, солод пив. яч. яч. карам., хмель, сироп лесной орех, дрожжи;Nut_Butter.jpg
;;;;;;;;
Friday Avenue;;4,70%;24;11,70%;светлое фильтрованное;АПА;СОСТАВ: вода, солод пив. яч., хмель, дрожжи;Friday_Avenue.jpg
;;;;;;;;
# Самовар/МП;;;;;;;;
;;;;;;;;
India Pale Ale;;6,00%;-;14,00%;светлое нефильтрованное;ИПА;СОСТАВ: вода, солод пив. яч., хмель, дрожжи;Samovar.jpg
;;;;;;;;
Kölsch Кёльш;;4,80%;-;12,00%;светлое фильтрованное;Кёльш;СОСТАВ: вода, солод пив. яч., хмель, дрожжи;Samovar.jpg
;;;;;;;;
Pilsner;;4,50%;-;12,00%;светлое фильтрованное;Лагер/Пилс;СОСТАВ: вода, солод пив. яч., хмель, дрожжи;Samovar.jpg
;;;;;;;;
Premium Lager;;4,70%;-;12,00%;светлое фильтрованное;Лагер;СОСТАВ: вода, солод пив. яч., хмель, дрожжи;Samovar.jpg
;;;;;;;;
White Ale;;4,50%;-;13,00%;светлое нефильтрованное;Пшеничное;СОСТАВ: вода, солод пив. яч., пшенич., хмель, дрожжи;Samovar.jpg
